Name 1,Name 2,Lon,Lat,Model,Sowing Day,Sowing Month,Start Year,End Year,Flowering Mean,Flowering SD,Maturity Mean,Maturity SD
Mara.2,Musoma Rural,33.475,-2.125,Beta_4,1,1,1980,2009,51.7,1.08,47.1,2
Mara.3,Butiama,33.725,-1.875,Beta_4,1,1,1980,2009,51.5,1.07,46.5,2.33
Mara.4,Serengeti,34.225,-1.875,Beta_4,1,1,1980,2009,52.8,1.61,48.7,2.52
Mara.5,Musoma Urban,33.725,-1.625,Beta_4,1,1,1980,2009,51.7,0.99,46.8,2.53
Mara.6,Rorya,33.975,-1.625,Beta_4,1,1,1980,2009,52.2,1.33,48.2,2.49
Mara.7,Tarime,34.225,-1.625,Beta_4,1,1,1980,2009,52.9,1.48,48.5,2.75
Mbeya,Chunya,33.475,-7.875,Beta_4,1,1,1980,2009,53.8,2.16,51.8,3.02
Mbeya.1,Rungwe,33.975,-9.375,Beta_4,1,1,1980,2009,55.8,3.47,56.2,3.57
Mbeya.2,Mbarali,34.725,-8.625,Beta_4,1,1,1980,2009,52.2,1.95,48.9,3.34
Mbeya.3,Ileje,32.975,-9.375,Beta_4,1,1,1980,2009,56.5,3.55,56.5,4.07
Mbeya.4,Mbozi,32.975,-9.375,Beta_4,1,1,1980,2009,56.5,3.55,56.5,4.07
Mbeya.5,Kyela,33.725,-9.375,Beta_4,1,1,1980,2009,59,4.56,61.9,4.96
Mbeya.6,Momba,32.475,-9.125,Beta_4,1,1,1980,2009,55.6,3.5,55.3,5.04
Mbeya.7,Tunduma,32.725,-9.125,Beta_4,1,1,1980,2009,54.3,3,53.2,4.5
Mbeya.8,Mbeya Rural,33.225,-9.125,Beta_4,1,1,1980,2009,59.1,4.34,62.7,5.45
Mbeya.9,Mbeya Urban,33.475,-8.875,Beta_4,1,1,1980,2009,56.8,3.59,56.8,3.74
Mbeya.10,Lake Rukwa,32.975,-8.375,Beta_4,1,1,1980,2009,51.3,1.62,46.5,3.51
Morogoro,Gairo,36.725,-6.125,Beta_4,1,1,1980,2009,51.8,1.99,46.9,2.91
Morogoro.1,Kilombero,36.725,-7.875,Beta_4,1,1,1980,2009,55.9,3.5,55.2,3.67
Morogoro.2,Kilosa,36.475,-7.375,Beta_4,1,1,1980,2009,52.7,2.29,48.9,2.7
Morogoro.3,Morogoro Rural,37.475,-7.375,Beta_4,1,1,1980,2009,49.2,0.38,38.8,1.77
Morogoro.4,Mvomero,37.475,-7.125,Beta_4,1,1,1980,2009,49.2,0.41,39,1.97
Morogoro.5,Morogoro Urban,37.725,-6.875,Beta_4,1,1,1980,2009,49.2,0.43,38,1.97
Morogoro.6,Ulanga,35.975,-9.125,Beta_4,1,1,1980,2009,49.8,0.96,36.1,1.9
Mtwara,Masasi,38.975,-10.375,Beta_4,1,1,1980,2009,49.2,0.43,40.2,1.79
Mtwara.1,Newala,39.225,-10.375,Beta_4,1,1,1980,2009,49.2,0.43,39.2,1.71
Mtwara.2,Nanyumbu,38.225,-11.125,Beta_4,1,1,1980,2009,49.6,0.76,37,1.52
Mtwara.3,Masasi Township Authority,38.725,-10.875,Beta_4,1,1,1980,2009,50,1.1,36.4,1.59
Mtwara.4,Tandahimba,39.475,-10.875,Beta_4,1,1,1980,2009,49.2,0.43,39.8,1.52
Mtwara.5,Mtwara Rural,39.725,-10.625,Beta_4,1,1,1980,2009,49.3,0.45,38.1,1.27
Mtwara.6,Mtwara Urban,40.225,-10.375,Beta_4,1,1,1980,2009,49.1,0.35,37.7,1.15
Mwanza,Lake Victoria,33.475,-1.875,Beta_4,1,1,1980,2009,51.8,1.15,47.4,2.13
Mwanza.1,Misungwi,32.725,-3.125,Beta_4,1,1,1980,2009,51.3,1.02,46.7,2.23
Mwanza.2,Kwimba,33.225,-3.125,Beta_4,1,1,1980,2009,51,0.93,45.7,2.16
Mwanza.3,Sengerema,32.475,-2.875,Beta_4,1,1,1980,2009,53.6,1.5,51.2,2.41
Mwanza.4,Ilemela,32.975,-2.625,Beta_4,1,1,1980,2009,51.5,1.11,47,1.98
Mwanza.5,Magu,32.975,-2.625,Beta_4,1,1,1980,2009,51.5,1.11,47,1.98
Mwanza.6,Nyamagana,32.975,-2.625,Beta_4,1,1,1980,2009,51.5,1.11,47,1.98
Mwanza.7,Ukerewe,32.975,-2.375,Beta_4,1,1,1980,2009,51.9,1.14,48.1,2.16
Njombe,Ludewa,34.725,-10.375,Beta_4,1,1,1980,2009,51.3,1.79,46,2.91
Njombe.1,Makete,34.225,-9.625,Beta_4,1,1,1980,2009,52.2,2.23,48.1,2.84
