"","filename","Name 1","Name 2","Lon","Lat","Model","Sowing Day","Sowing Month","Start Year","End Year","Flowering Mean","Flowering SD","Maturity Mean","Maturity SD"
"38","V1_1980_2009_0102101112_011020","Mbeya.2","Mbarali","34.725","-8.625","Beta_4",10,12,1980,2009,51.6,1.75,48.7,3.51
"39","V1_1980_2009_0102101112_011020","Mbeya.2","Mbarali","34.725","-8.625","Beta_4",10,1,1980,2009,52.3,1.84,49.1,3.02
"40","V1_1980_2009_0102101112_011020","Mbeya.2","Mbarali","34.725","-8.625","Beta_4",10,2,1980,2009,52.3,1.73,51.9,3.18
"41","V1_1980_2009_0102101112_011020","Mbeya.2","Mbarali","34.725","-8.625","Beta_4",20,10,1980,2009,52.3,2.12,46.8,4.28
"42","V1_1980_2009_0102101112_011020","Mbeya.2","Mbarali","34.725","-8.625","Beta_4",20,11,1980,2009,51.4,1.97,48.4,3.73
"43","V1_1980_2009_0102101112_011020","Mbeya.2","Mbarali","34.725","-8.625","Beta_4",20,12,1980,2009,51.8,1.7,48.7,3.46
"44","V1_1980_2009_0102101112_011020","Mbeya.2","Mbarali","34.725","-8.625","Beta_4",20,1,1980,2009,52.3,1.84,49.5,2.91
"45","V1_1980_2009_0102101112_011020","Mbeya.2","Mbarali","34.725","-8.625","Beta_4",20,2,1980,2009,52.3,1.56,53.3,3.75
"46","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",1,10,1980,2009,57.6,3.57,55.5,6.16
"47","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",1,11,1980,2009,56.4,3.81,56.1,5.58
"48","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",1,12,1980,2009,56.3,3.47,55.8,4.57
"49","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",1,1,1980,2009,56.5,3.55,56.5,4.07
"50","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",1,2,1980,2009,56.3,2.9,61.3,4.83
"51","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",10,10,1980,2009,57.1,3.54,55.6,6.19
"52","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",10,11,1980,2009,56.3,3.63,56,5.37
"53","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",10,12,1980,2009,56.5,3.43,55.6,4.56
"54","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",10,1,1980,2009,56.6,3.29,57.2,4.29
"55","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",10,2,1980,2009,56.1,2.66,64.3,5.69
"56","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",20,10,1980,2009,56.6,3.68,55.9,5.61
"57","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",20,11,1980,2009,56.3,3.56,55.9,4.95
"58","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",20,12,1980,2009,56.5,3.19,55.7,4.02
"59","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",20,1,1980,2009,56.4,3.1,58.8,4.31
"60","V1_1980_2009_0102101112_011020","Mbeya.3","Ileje","32.975","-9.375","Beta_4",20,2,1980,2009,56.4,2.4,68,6.58
"61","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",1,10,1980,2009,57.6,3.57,55.5,6.16
"62","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",1,11,1980,2009,56.4,3.81,56.1,5.58
"63","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",1,12,1980,2009,56.3,3.47,55.8,4.57
"64","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",1,1,1980,2009,56.5,3.55,56.5,4.07
"65","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",1,2,1980,2009,56.3,2.9,61.3,4.83
"66","V1_1980_2009_0102101112_011020","Mbeya.4","Mbozi","32.975","-9.375","Beta_4",10,10,1980,2009,57.1,3.54,55.6,6.19
